 ,Aleksandrs_KOLINKO,Igors_STEPANOVS,Vitalis_ASTAFJEVS,Mihails_ZEMLINSKIS,Jurijs_LAIZANS,Olegs_BLAGONADEZDINS,Aleksandrs_ISAKOVS,Imants_BLEIDELIS,Maris_VERPAKOVSKIS,Andrejs_RUBINS,Andrejs_PROHORENKOVS,Andrejs_PIEDELS,Jurgis_PUCINSKIS,Valentins_LOBANOVS,Maris_SMIRNOVS,Dzintars_ZIRNIS,Marians_PAHARS,Igors_KORABLOVS,Andrejs_TOLCERS,Andrejs_PAVLOVS,Mihails_MIHOLAPS,Arturs_ZAKRESEVSKIS,Vits_RIMKUS
Aleksandrs_KOLINKO,0,1,1,0,1,3,2,0,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0
Igors_STEPANOVS,1,0,2,3,1,6,1,1,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0
Vitalis_ASTAFJEVS,1,3,0,1,0,5,2,3,3,1,3,0,0,3,0,0,2,0,0,0,0,0,0
Mihails_ZEMLINSKIS,0,3,2,0,0,2,1,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Jurijs_LAIZANS,1,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Olegs_BLAGONADEZDINS,3,6,0,1,1,0,1,2,1,7,3,0,0,2,0,0,1,0,0,0,0,0,0
Aleksandrs_ISAKOVS,2,1,3,1,1,1,0,6,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0
Imants_BLEIDELIS,0,1,4,1,1,2,7,0,3,1,1,0,0,3,0,0,1,0,0,0,0,0,0
Maris_VERPAKOVSKIS,1,0,1,1,2,1,2,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
Andrejs_RUBINS,0,1,3,0,0,4,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Andrejs_PROHORENKOVS,1,1,1,2,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Andrejs_PIEDELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurgis_PUCINSKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentins_LOBANOVS,1,1,2,0,0,2,2,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Maris_SMIRNOVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dzintars_ZIRNIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marians_PAHARS,2,0,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Igors_KORABLOVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrejs_TOLCERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrejs_PAVLOVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mihails_MIHOLAPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arturs_ZAKRESEVSKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vits_RIMKUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
