 ,Thomas_SØRENSEN,Kasper_BØGELUND,René_HENRIKSEN,Martin_LAURSEN,Niclas_JENSEN,Thomas_HELVEG,Thomas_GRAVESEN,Jesper_GRØNKJÆR,Jon_Dahl_TOMASSON,Martin_JØRGENSEN,Ebbe_SAND,Thomas_KAHLENBERG,Per_KRØLDRUP,Claus_JENSEN,Daniel_JENSEN,Peter_SKOV-JENSEN,Christian_POULSEN,Brian_PRISKE,Dennis_ROMMEDAHL,Kenneth_PEREZ,Peter_MADSEN,Stephan_ANDERSEN,Peter_LOVENKRANDS
Thomas_SØRENSEN,0,1,2,4,0,10,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Kasper_BØGELUND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
René_HENRIKSEN,2,9,0,5,0,9,11,2,1,5,0,0,0,2,0,0,3,0,1,0,0,0,1
Martin_LAURSEN,2,1,6,0,0,7,9,3,3,1,0,0,0,2,0,0,6,0,1,0,1,0,0
Niclas_JENSEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas_HELVEG,0,1,7,12,0,0,0,16,11,4,0,0,0,5,0,0,18,0,5,0,0,0,0
Thomas_GRAVESEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesper_GRØNKJÆR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon_Dahl_TOMASSON,0,1,1,0,0,2,7,3,0,2,0,0,0,5,0,0,3,0,0,0,1,0,0
Martin_JØRGENSEN,0,4,2,1,0,1,2,1,3,0,0,0,0,1,0,0,3,0,0,0,1,0,0
Ebbe_SAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas_KAHLENBERG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Per_KRØLDRUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claus_JENSEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel_JENSEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter_SKOV-JENSEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian_POULSEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian_PRISKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis_ROMMEDAHL,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kenneth_PEREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter_MADSEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephan_ANDERSEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter_LOVENKRANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
