 ,David_JAMES,Gary_NEVILLE,Ashley_COLE,Steven_GERRARD,John_TERRY,Sol_CAMPBELL,David_BECKHAM,Paul_SCHOLES,Wayne_ROONEY,Michael_OWEN,Frank_LAMPARD,Wayne_BRIDGE,Paul_ROBINSON,Phil_NEVILLE,Ledley_KING,Jamie_CARRAGHER,Nicky_BUTT,Owen_HARGREAVES,Joe_COLE,Kieron_DYER,Emile_HESKEY,Ian_WALKER,Darius_VASSELL
David_JAMES,0,6,6,0,1,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary_NEVILLE,4,0,0,0,3,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0
Ashley_COLE,3,0,0,4,1,4,3,10,0,2,14,0,0,0,0,0,0,2,0,1,0,0,0
Steven_GERRARD,0,5,5,0,2,2,8,4,2,2,5,0,0,0,0,0,0,2,0,2,0,0,0
John_TERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sol_CAMPBELL,1,3,10,3,4,0,1,4,2,1,5,0,0,0,0,0,0,1,0,1,0,0,0
David_BECKHAM,4,4,2,6,2,3,0,3,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1
Paul_SCHOLES,0,4,8,4,1,3,1,0,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0
Wayne_ROONEY,1,2,2,2,0,1,4,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
Michael_OWEN,1,0,0,3,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frank_LAMPARD,0,4,10,7,0,4,4,8,3,1,0,0,0,0,0,0,0,1,0,2,0,0,0
Wayne_BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul_ROBINSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil_NEVILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ledley_KING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie_CARRAGHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicky_BUTT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen_HARGREAVES,0,2,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2
Joe_COLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieron_DYER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile_HESKEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian_WALKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius_VASSELL,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
